Country,Date,Monthly share of total hashrate (%)
Afghanistan,2019/9/1,0.000193704
Albania,2019/9/1,0.007435748
Algeria,2019/9/1,0.000518339
Andorra,2019/9/1,0.004977737
Angola,2019/9/1,0.001288077
Argentina,2019/9/1,0.008408273
Armenia,2019/9/1,0.163455166
Australia,2019/9/1,0.003971677
Austria,2019/9/1,0.014011449
Azerbaijan,2019/9/1,0.033879129
Bahrain,2019/9/1,0.000785154
Bangladesh,2019/9/1,0.001339092
Belarus,2019/9/1,0.010419163
Belgium,2019/9/1,0.004370193
Bhutan,2019/9/1,0.009692991
Bolivia,2019/9/1,0.000224409
Bosnia & Herzegovina,2019/9/1,0.024786184
Brazil,2019/9/1,0.03224239
British Virgin Islands,2019/9/1,7.70218E-06
Brunei Darussalam,2019/9/1,0.085132061
Bulgaria,2019/9/1,0.031280485
Cambodia,2019/9/1,0
Cameroon,2019/9/1,0.00024659
Canada,2019/9/1,1.062991675
Chile,2019/9/1,0.000338889
Colombia,2019/9/1,0.026009489
Congo Rep.,2019/9/1,7.55132E-06
Costa Rica,2019/9/1,0.002916153
Cote d'Ivoire,2019/9/1,1.65467E-08
Croatia,2019/9/1,0.001616126
Curacao,2019/9/1,0.000201548
Cyprus,2019/9/1,4.39875E-06
Czech Republic,2019/9/1,0.037198157
Denmark,2019/9/1,0.003153054
Dominican Republic,2019/9/1,0.00974797
Ecuador,2019/9/1,0.000141415
Egypt,2019/9/1,0.022639817
Estonia,2019/9/1,0.027135461
Ethiopia,2019/9/1,0.092090194
Finland,2019/9/1,0.006269348
France,2019/9/1,0.12878964
Georgia,2019/9/1,0.315285061
Germany,2019/9/1,0.902580319
Ghana,2019/9/1,0.001356157
Greece,2019/9/1,0.012525756
Guatemala,2019/9/1,0.00060807
Hungary,2019/9/1,0.009546518
Iceland,2019/9/1,0.113715799
India,2019/9/1,0.009529809
Indonesia,2019/9/1,0.015382166
Iran,2019/9/1,1.742163975
Iraq,2019/9/1,0.002345883
Ireland,2019/9/1,0.000830409
Israel,2019/9/1,0.000798893
Italy,2019/9/1,0.009077543
Jamaica,2019/9/1,0
Japan,2019/9/1,0.003646874
Jordan,2019/9/1,0.00067958
Kazakhstan,2019/9/1,1.420849915
Kenya,2019/9/1,5.00524E-10
Kosovo,2019/9/1,0.012693152
Kuwait,2019/9/1,0.051383023
Kyrgyzstan,2019/9/1,0.170793886
Lao People's Democratic Republic,2019/9/1,0.017606027
Latvia,2019/9/1,0.035925885
Lebanon,2019/9/1,0.006444559
Lesotho,2019/9/1,0.000113661
Libya,2019/9/1,1.15796237
Lithuania,2019/9/1,0.015693749
Luxembourg,2019/9/1,0.000234918
Macedonia,2019/9/1,0.023791167
Malawi,2019/9/1,0.000280777
Malaysia,2019/9/1,3.253419254
Mexico,2019/9/1,0.039679274
Moldova,2019/9/1,0.024381087
Mongolia,2019/9/1,0.143852251
Montenegro,2019/9/1,0.005502329
Morocco,2019/9/1,0.000245075
Mozambique,2019/9/1,2.41429E-08
Myanmar (Burma),2019/9/1,0.007871632
Nepal,2019/9/1,0
Netherlands,2019/9/1,0.104701308
New Zealand,2019/9/1,0.002291498
Nicaragua,2019/9/1,8.94191E-06
Nigeria,2019/9/1,0.000455002
Norway,2019/9/1,0.950498771
Pakistan,2019/9/1,0.00042348
Panama,2019/9/1,0.000324772
Paraguay,2019/9/1,0.241560252
Peru,2019/9/1,0.02370013
Philippines,2019/9/1,0.001004579
Poland,2019/9/1,0.021655226
Portugal,2019/9/1,0.01099898
Qatar,2019/9/1,0.002722258
Romania,2019/9/1,0.045941669
Russia,2019/9/1,5.928282826
Saudi Arabia,2019/9/1,0.0043167
Serbia,2019/9/1,0.016721021
Seychelles,2019/9/1,0.001996508
Singapore,2019/9/1,0.022404824
Slovakia,2019/9/1,0.008123551
Slovenia,2019/9/1,0.001910076
South Africa,2019/9/1,0.04171888
South Korea,2019/9/1,0.028861461
Spain,2019/9/1,0.035530024
Sri Lanka,2019/9/1,8.04259E-05
Sweden,2019/9/1,0.008777005
Switzerland,2019/9/1,0.037123788
Syria,2019/9/1,0.007082645
Tajikistan,2019/9/1,0.000648536
Thailand,2019/9/1,0.228486223
Trinidad and Tobago,2019/9/1,0.077278149
Tunisia,2019/9/1,3.53019E-05
Turkey,2019/9/1,0.030487047
Turkmenistan,2019/9/1,0.001025954
UK,2019/9/1,0.102251434
Uganda,2019/9/1,0.000464129
Ukraine,2019/9/1,0.296752436
United Arab Emirates,2019/9/1,0.057865927
United States,2019/9/1,4.060740747
Uruguay,2019/9/1,0.000238235
Uzbekistan,2019/9/1,0.107367612
Venezuela,2019/9/1,0.458496151
Vietnam,2019/9/1,0.00736988
Zimbabwe,2019/9/1,0.008053384
"Hong Kong SAR,China",2019/9/1,0.012758239
"Taiwan,China",2019/9/1,0.080464768
China,2019/9/1,75.62162487
Afghanistan,2019/10/1,0.000133284
Albania,2019/10/1,0.010041659
Algeria,2019/10/1,0.000564434
Andorra,2019/10/1,0.003938293
Angola,2019/10/1,0.000878336
Argentina,2019/10/1,0.008582262
Armenia,2019/10/1,0.11749788
Australia,2019/10/1,0.003894202
Austria,2019/10/1,0.010651691
Azerbaijan,2019/10/1,0.032966086
Bahrain,2019/10/1,0.000643386
Bangladesh,2019/10/1,0.001520897
Belarus,2019/10/1,0.01018315
Belgium,2019/10/1,0.006010534
Bermuda,2019/10/1,0
Bhutan,2019/10/1,0.009632299
Bolivia,2019/10/1,8.0362E-05
Bosnia & Herzegovina,2019/10/1,0.003815499
Brazil,2019/10/1,0.03773265
British Virgin Islands,2019/10/1,3.12352E-06
Brunei Darussalam,2019/10/1,0.078905158
Bulgaria,2019/10/1,0.024864363
Cameroon,2019/10/1,0.000696469
Canada,2019/10/1,0.646543253
Chile,2019/10/1,0.000399819
Colombia,2019/10/1,0.030363372
Costa Rica,2019/10/1,0.000488669
Croatia,2019/10/1,0.001947541
Curacao,2019/10/1,9.27908E-05
Cyprus,2019/10/1,0.00111415
Czech Republic,2019/10/1,0.026694197
Denmark,2019/10/1,0.004713433
Dominican Republic,2019/10/1,0.008982357
Ecuador,2019/10/1,0.000124285
Egypt,2019/10/1,0.024219146
El Salvador,2019/10/1,1.55328E-05
Estonia,2019/10/1,0.026499491
Ethiopia,2019/10/1,0.074780076
Finland,2019/10/1,0.011213426
France,2019/10/1,0.12676702
Georgia,2019/10/1,0.274232349
Germany,2019/10/1,0.429915495
Ghana,2019/10/1,0.001776686
Greece,2019/10/1,0.014609522
Guatemala,2019/10/1,0.000491425
Hungary,2019/10/1,0.00883112
